match_id,season,start_date,venue,city,innings,batting_team,bowling_team,innings_total_runs,innings_wickets,legal_balls,overs,toss_winner,toss_decision,winner
1082591,2017,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,1,Sunrisers Hyderabad,Royal Challengers Bangalore,207,4,120,20.0,Royal Challengers Bangalore,field,Sunrisers Hyderabad
1082591,2017,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2,Royal Challengers Bangalore,Sunrisers Hyderabad,172,10,118,19.4,Royal Challengers Bangalore,field,Sunrisers Hyderabad
1082592,2017,2017-04-06,Maharashtra Cricket Association Stadium,Pune,1,Mumbai Indians,Rising Pune Supergiant,184,8,120,20.0,Rising Pune Supergiant,field,Rising Pune Supergiant
1082592,2017,2017-04-06,Maharashtra Cricket Association Stadium,Pune,2,Rising Pune Supergiant,Mumbai Indians,187,3,119,19.5,Rising Pune Supergiant,field,Rising Pune Supergiant
1082593,2017,2017-04-07,Saurashtra Cricket Association Stadium,Rajkot,1,Gujarat Lions,Kolkata Knight Riders,183,4,120,20.0,Kolkata Knight Riders,field,Kolkata Knight Riders
1082593,2017,2017-04-07,Saurashtra Cricket Association Stadium,Rajkot,2,Kolkata Knight Riders,Gujarat Lions,184,0,89,14.5,Kolkata Knight Riders,field,Kolkata Knight Riders
1082594,2017,2017-04-08,Holkar Cricket Stadium,Indore,1,Rising Pune Supergiant,Kings XI Punjab,163,6,120,20.0,Kings XI Punjab,field,Kings XI Punjab
1082594,2017,2017-04-08,Holkar Cricket Stadium,Indore,2,Kings XI Punjab,Rising Pune Supergiant,164,4,114,19.0,Kings XI Punjab,field,Kings XI Punjab
1082595,2017,2017-04-08,M.Chinnaswamy Stadium,Bengaluru,1,Royal Challengers Bangalore,Delhi Daredevils,157,8,120,20.0,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
1082595,2017,2017-04-08,M.Chinnaswamy Stadium,Bengaluru,2,Delhi Daredevils,Royal Challengers Bangalore,142,9,120,20.0,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
1082596,2017,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,1,Gujarat Lions,Sunrisers Hyderabad,135,7,120,20.0,Sunrisers Hyderabad,field,Sunrisers Hyderabad
1082596,2017,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2,Sunrisers Hyderabad,Gujarat Lions,140,1,93,15.3,Sunrisers Hyderabad,field,Sunrisers Hyderabad
1082597,2017,2017-04-09,Wankhede Stadium,Mumbai,1,Kolkata Knight Riders,Mumbai Indians,178,7,120,20.0,Mumbai Indians,field,Mumbai Indians
1082597,2017,2017-04-09,Wankhede Stadium,Mumbai,2,Mumbai Indians,Kolkata Knight Riders,180,6,119,19.5,Mumbai Indians,field,Mumbai Indians
1082598,2017,2017-04-10,Holkar Cricket Stadium,Indore,1,Royal Challengers Bangalore,Kings XI Punjab,148,4,120,20.0,Royal Challengers Bangalore,bat,Kings XI Punjab
1082598,2017,2017-04-10,Holkar Cricket Stadium,Indore,2,Kings XI Punjab,Royal Challengers Bangalore,150,2,87,14.3,Royal Challengers Bangalore,bat,Kings XI Punjab
1082599,2017,2017-04-11,Maharashtra Cricket Association Stadium,Pune,1,Delhi Daredevils,Rising Pune Supergiant,205,4,120,20.0,Rising Pune Supergiant,field,Delhi Daredevils
1082599,2017,2017-04-11,Maharashtra Cricket Association Stadium,Pune,2,Rising Pune Supergiant,Delhi Daredevils,108,10,97,16.1,Rising Pune Supergiant,field,Delhi Daredevils
1082600,2017,2017-04-12,Wankhede Stadium,Mumbai,1,Sunrisers Hyderabad,Mumbai Indians,158,8,120,20.0,Mumbai Indians,field,Mumbai Indians
1082600,2017,2017-04-12,Wankhede Stadium,Mumbai,2,Mumbai Indians,Sunrisers Hyderabad,159,6,112,18.4,Mumbai Indians,field,Mumbai Indians
1082601,2017,2017-04-13,Eden Gardens,Kolkata,1,Kings XI Punjab,Kolkata Knight Riders,170,9,120,20.0,Kolkata Knight Riders,field,Kolkata Knight Riders
1082601,2017,2017-04-13,Eden Gardens,Kolkata,2,Kolkata Knight Riders,Kings XI Punjab,171,2,99,16.3,Kolkata Knight Riders,field,Kolkata Knight Riders
1082602,2017,2017-04-14,M Chinnaswamy Stadium,Bangalore,1,Royal Challengers Bangalore,Mumbai Indians,142,5,120,20.0,Mumbai Indians,field,Mumbai Indians
1082602,2017,2017-04-14,M Chinnaswamy Stadium,Bangalore,2,Mumbai Indians,Royal Challengers Bangalore,145,6,113,18.5,Mumbai Indians,field,Mumbai Indians
