match_id,season,start_date,venue,city,team1,team2,toss_winner,toss_decision,winner,winner_runs,winner_wickets,result,player_of_match,event,match_number,gender,dates,balls_per_over,method,eliminator,players_count
1082591,2017,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,35,,,Yuvraj Singh,Indian Premier League,1,male,2017/04/05,6,,,22
1082592,2017,2017-04-06,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Rising Pune Supergiant,,7,,SPD Smith,Indian Premier League,2,male,2017/04/06,6,,,22
1082593,2017,2017-04-07,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,10,,CA Lynn,Indian Premier League,3,male,2017/04/07,6,,,22
1082594,2017,2017-04-08,Holkar Cricket Stadium,Indore,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Kings XI Punjab,,6,,GJ Maxwell,Indian Premier League,4,male,2017/04/08,6,,,22
1082595,2017,2017-04-08,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,15,,,KM Jadhav,Indian Premier League,5,male,2017/04/08,6,,,22
1082596,2017,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,9,,Rashid Khan,Indian Premier League,6,male,2017/04/09,6,,,22
1082597,2017,2017-04-09,Wankhede Stadium,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,,4,,N Rana,Indian Premier League,7,male,2017/04/09,6,,,22
1082598,2017,2017-04-10,Holkar Cricket Stadium,Indore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,,8,,AR Patel,Indian Premier League,8,male,2017/04/10,6,,,22
1082599,2017,2017-04-11,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,field,Delhi Daredevils,97,,,SV Samson,Indian Premier League,9,male,2017/04/11,6,,,22
1082600,2017,2017-04-12,Wankhede Stadium,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,,4,,JJ Bumrah,Indian Premier League,10,male,2017/04/12,6,,,22
1082601,2017,2017-04-13,Eden Gardens,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,,8,,SP Narine,Indian Premier League,11,male,2017/04/13,6,,,22
1082602,2017,2017-04-14,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,4,,KA Pollard,Indian Premier League,12,male,2017/04/14,6,,,22
1082603,2017,2017-04-14,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Gujarat Lions,,7,,AJ Tye,Indian Premier League,13,male,2017/04/14,6,,,22
1082604,2017,2017-04-15,Eden Gardens,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,17,,,RV Uthappa,Indian Premier League,14,male,2017/04/15,6,,,22
1082605,2017,2017-04-15,Feroz Shah Kotla,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils,51,,,CJ Anderson,Indian Premier League,15,male,2017/04/15,6,,,22
1082606,2017,2017-04-16,Wankhede Stadium,Mumbai,Mumbai Indians,Gujarat Lions,Mumbai Indians,field,Mumbai Indians,,6,,N Rana,Indian Premier League,16,male,2017/04/16,6,,,22
